annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;promotion_second_tirage;combinaison_gagnant_second_tirage_en_ordre_croissant;nombre_de_gagnant_au_rang_1_second_tirage;rapport_du_rang1_second_tirage;nombre_de_gagnant_au_rang_2_second_tirage;rapport_du_rang2_second_tirage;nombre_de_gagnant_au_rang_3_second_tirage;rapport_du_rang3_second_tirage;nombre_de_gagnant_au_rang_4_second_tirage;rapport_du_rang4_second_tirage;numero_jokerplus;devise;
25022;MERCREDI;19/02/2025;20/05/2025;42;23;16;32;28;5;16-23-28-32-42+5;0;16000000,00;2;98356,20;50;960,20;452;383,10;2304;44,90;18208;20,40;32504;8,90;254529;4,50;458999;2,20;10;20000,00;U 0259 3445, O 3637 6118, K 4111 0524, S 9729 6783, O 9528 4396, J 1117 7446, L 9852 3242, V 6262 1152, K 5612 0175, O 1229 1203;15;28;41;45;47;;15-28-41-45-47;0;142308,00;228;722,70;10380;40,80;151100;3,00;2476687;eur;
25021;LUNDI;17/02/2025;18/05/2025;40;3;14;20;34;6;3-14-20-34-40+6;0;15000000,00;2;93934,60;47;975,60;318;520,00;1530;64,50;14589;24,30;22933;12,00;224636;4,80;338807;2,20;10;20000,00;C 7148 3037, T 3335 8059, Q 2700 1680, D 3810 9146, B 7389 2346, U 4839 8888, J 1192 8878, G 5874 4842, T 7660 2851, G 2611 3723;11;12;14;18;25;;11-12-14-18-25;2;63543,00;413;236,00;16041;15,60;194047;3,00;9505695;eur;
25020;SAMEDI;15/02/2025;16/05/2025;48;42;13;49;6;3;6-13-42-48-49+3;0;14000000,00;0;252771,40;54;5823,40;444;501,10;2505;53,00;22356;21,40;37478;9,90;330815;4,40;532906;2,20;10;20000,00;M 5045 8766, T 7689 7596, B 7650 3564, P 3744 1835, U 7782 1506, G 4454 0760, C 1990 0788, T 7809 0191, T 8028 0097, D 0436 5791;2;5;9;44;47;;2-5-9-44-47;0;179623,00;331;524,60;16068;27,70;231579;3,00;5380049;eur;
25019;MERCREDI;12/02/2025;13/05/2025;1;37;41;30;23;5;1-23-30-37-41+5;0;2000000,00;1;152992,50;31;1204,50;222;606,60;1361;59,10;11289;25,60;23481;9,50;181826;4,90;366552;2,20;10;20000,00;B 8065 0079, E 4684 3472, I 1337 2693, G 2281 1064, N 5871 2364, P 7123 3418, O 2075 3872, P 4303 7434, D 4068 1039, S 9161 9066;7;12;13;27;46;;7-12-13-27-46;1;116855,00;361;229,30;15515;13,70;186582;3,00;1320920;eur;
25018;LUNDI;10/02/2025;11/05/2025;39;44;12;29;2;6;2-12-29-39-44+6;1;7000000,00;1;155559,50;38;999,10;286;478,80;1413;57,90;13576;21,60;21312;10,70;203090;4,40;280367;2,20;10;20000,00;F 3563 3390, W 7404 0663, K 6067 1581, H 3551 6326, H 5291 9784, B 0598 5372, W 7407 1428, F 2040 6076, M 4141 2091, M 9581 8008;3;17;18;28;39;;3-17-18-28-39;1;110718,00;238;444,10;10307;26,30;144325;3,00;9833280;eur;
25017;SAMEDI;08/02/2025;09/05/2025;49;26;11;43;42;8;11-26-42-43-49+8;0;6000000,00;0;243872,40;29;10461,90;323;664,60;2045;62,70;18186;25,30;34431;10,40;295767;4,80;518299;2,20;10;20000,00;G 5069 8321, I 8943 5215, H 4843 8836, C 3134 8942, K 6930 2416, N 5282 8542, O 7352 6719, U 8419 8353, W 7393 7604, E 2413 1041;4;24;27;28;40;;4-24-27-28-40;1;178686,00;326;546,20;15386;29,70;224037;3,00;1280474;eur;
25016;MERCREDI;05/02/2025;06/05/2025;14;8;24;28;5;9;5-8-14-24-28+9;0;5000000,00;12;14931,30;76;575,40;790;199,60;2625;35,90;26367;12,80;30988;8,50;299405;3,40;338443;2,20;10;20000,00;V 5245 7523, A 2853 7084, U 3384 7777, D 2663 5262, N 9922 5873, Q 8285 9630, K 3961 9732, V 2981 5424, V 5416 8342, L 3141 4324;4;13;16;28;36;;4-13-16-28-36;3;42296,00;344;346,90;13015;23,50;167540;3,00;6635266;eur;
25015;LUNDI;03/02/2025;04/05/2025;29;48;32;27;44;8;27-29-32-44-48+8;0;4000000,00;1;142348,50;19;1828,60;222;564,40;1208;61,90;9935;27,10;18918;11,00;159612;5,20;294319;2,20;10;20000,00;M 3765 2679, S 4353 6751, B 0937 2000, D 1154 2506, E 1129 3370, A 8364 9198, Q 7333 2967, R 3711 8712, C 4221 7530, P 2380 5355;1;13;18;26;46;;1-13-18-26-46;0;106060,00;250;394,90;10208;24,80;141285;3,00;8795334;eur;
25014;SAMEDI;01/02/2025;02/05/2025;34;46;11;30;36;5;11-30-34-36-46+5;0;3000000,00;2;111143,40;46;1179,40;296;661,10;1916;61,00;15516;27,10;31124;10,50;250780;5,10;539817;2,20;10;20000,00;K 6314 0622, P 6830 9295, B 5168 0893, L 7995 7269, L 1036 4390, G 3018 1203, O 3245 3350, P 9256 7734, V 0485 2703, D 4306 0830;3;10;11;34;42;;3-10-11-34-42;3;56817,00;313;539,50;14568;29,80;214895;3,00;5565138;eur;
25013;MERCREDI;29/01/2025;29/04/2025;29;41;17;27;19;2;17-19-27-29-41+2;0;2000000,00;2;86233,50;47;895,60;478;317,60;1727;52,50;17661;18,40;22898;11,00;242923;4,10;280756;2,20;10;20000,00;S 5493 6413, S 9847 8268, U 3265 2828, L 9849 0467, O 9411 1462, E 9760 9011, J 0929 4748, N 1304 5911, F 3892 4179, Q 1094 1496;25;31;38;42;43;;25-31-38-42-43;3;39240,00;134;1066,60;7473;49,10;117111;3,00;3361760;eur;
